laptop_id,name,display,processor,os,memory,graphics,storage,batteryLife,price,image,image1,image1s,averageRatings,create_at,update_at
1,"Samsung Notebook 9 Pro","13.3 inches 1080p LED backlight display with resolution of 1920 x 1080 (Full HD), native pen support","Processor: 8th generation Intel Core i7 8565U processor","Windows 10 Home 64 bit","16GB RAM","Intel UHD 620 GPU","256GB NVMe SSD","4 cell Li ion 4800mAh 55Wh battery up to 14 hours","Rs.1,43,000",img/laptop/Notebook-9-Pro1.png,img/laptop/Notebook_9_pro.png,img/laptop/Notebook_9_pro_Iu1y8kx.png,4,"2021-02-04 07:33:08.477358","2021-03-01 13:56:07.644735"
2,"MacBook Pro 16 (Gaming)","16 inches IPS LED backlit display with a resolution of 3072×1920 pixels, 500 nits brightness, P3 wide color gamut","8 Core Intel Core i9 with2.3GHz","macOS Catalina operating system","64GB DDR4 RAM","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","8TB SSD","Up to 11 hours , 100Wh battery; 96W USB C power adapter","Rs.4,10,000",img/laptop/Macbook-Pro-16.png,img/laptop/Apple_macbook_pro_16.png,img/laptop/Apple_macbook_pro_16_CJnMX14.png,3,"2021-02-04 08:02:55.251199","2021-02-04 08:12:50.076167"
3,"Dell Inspiron 15 5590","15.6 inches, Full HD (1920 x 1080) IPS, 60 Hz","Intel Core i7 9750H","Windows 10 Home","16GB DDR4 RAM","NVIDIA GeForce GTX 1660Ti graphic processor","128GB SSD + 1TB HDD","Up to 8 hours","Rs.1,64,800",img/laptop/Dell-Inspiron-15.png,img/laptop/Dell_inspiron_15.png,img/laptop/Dell_inspiron_15_8rEojoh.png,3,"2021-03-01 11:47:46.749399","2021-03-01 11:47:46.749399"
4,"Acer Aspire 5","15.6″ diagonal FHD (1920 x 1080)","Intel Core i5 10210U","Windows, Linux","8GB RAM","Nvidia GeForce MX250","1TB HDD","48whr, up to 9 hours","Rs.75,000",img/laptop/Acer-Aspire-5.png,img/laptop/Acer_Aspire_5.png,img/laptop/Acer_Aspire_5_t8VCdtM.png,2,"2021-03-01 11:50:27.244846","2021-03-01 11:50:27.244846"
5,"Lenovo Legion 7 i5 10300H","15.6 inches FHD (1920 x 1080); up to 240Hz refresh rate, 100% Adobe sRGB","Up to Intel 10 Gen Core i9 10980HK","Windows, Linux","8 / 16 / 32GB DDR4 RAM","Up to NVIDIA GeForce RTX 2080 Super Max Q","256 / 512 / 1TB PCIe SSD","4 cell 80 Watt hours battery","Rs.2,00,000",img/laptop/Lenovo-Legion-7.png,img/laptop/Lenovo_Legion_7is.png,img/laptop/Lenovo_Legion_7is_xETXEpv.png,3,"2021-03-01 11:53:54.037776","2021-03-01 11:53:54.037776"
6,"Samsung Notebook Odyssey","15.6” with resolution of 1920 x 1080(Full HD)","Intel Core i7 9750H","Windows 10 Home 64 bit","32GB RAM","RTX 2060 graphics","Up to 2000GB SSD + Up to 2000 GB HDD","43Wh battery up to 4 hours and 28 seconds","Rs.1,32,800",img/laptop/Samsung-Notebook-Odyssey_9yB4s4Q.png,img/laptop/Samsung_Notebook.png,img/laptop/Samsung_Notebook_HdbQcFW.png,2,"2021-03-01 11:57:28.290767","2021-03-01 13:55:13.494867"
7,"MacBook Air 13","13.3 inches Retina IPS display, 2560 x 1600 pixels","1.6GHz dual core 8th generation Intel Core i5 processor with Turbo Boost up to 3.6GHz","macOS Catalina","8GB LPDDR3 RAM","Intel Iris Plus Graphics","2TB SSD","Up to 12 hours","Rs.1,56,000",img/laptop/Macbook-Air-13.png,img/laptop/Apple_MacBook_air_13.png,img/laptop/Apple_MacBook_air_13_FfRKbqW.png,3,"2021-03-01 12:00:24.890627","2021-03-01 12:00:24.890627"
8,"Dell Latitude 7400 2 in 1","14.0 inches FHD Touch, ant i reflective, anti smudge Low watt Corning Gorilla glass 5","8th Generation Intel Core i5 8265U","Windows 10 Pro 64 bit","8GB RAM","Integrated Intel UHD 620 Graphics","128GB M.2 PCIe NVMe SSD","Up to 15 hours","Rs.1,90,300",img/laptop/Dell-Latitude-7400.png,img/laptop/Dell_latitude_7400.png,img/laptop/Dell_latitude_7400_kMQnpH5.png,4,"2021-03-01 12:03:47.768779","2021-03-01 12:03:47.768779"
9,"Acer Nitro 5 AN515","15.6″ diagonal FHD (1920 x 1080); LCD Comfy View display","Intel Core i5 8300H","Windows, Linux","8GB DDR4","Nvidia GeForce GTX 1050","1TB HDD","4 cell Lithium Ion 3320mAh, up to 5 hours","Rs.81,990",img/laptop/Acer-Nitro-5-AN515.png,img/laptop/Acer_nitro_5.png,img/laptop/acer_nitro_5_qDZJnAj.png,3,"2021-03-01 12:06:54.441433","2021-03-01 12:06:54.441433"
10,"Lenovo Legion 5i","15.6 inches FHD (1920 x 1080); up to 240Hz refresh rate, 100% sRGB) or (17.3 inches FHD (1920 x 1080); up to 144Hz refresh rate, 72% NTSC, 300 nits)","Up to 10th Gen Intel Core i7 10875H","Windows, Linux","8GB / 16GB DDR4 RAM","Up to NVIDIA GeFo rce RTX 2060","128GB / 256GB / 512GB / 1TB PCIe SSD","4 cell 60/80 Watt hours battery","Rs.1,01,000",img/laptop/Lenovo-Legion-5i.png,img/laptop/Lenovo_Legion_5i.png,img/laptop/Lenovo_Legion_5i_RvZ3POQ.png,4,"2021-03-01 12:09:27.588165","2021-03-01 12:09:27.588165"
11,"Samsung Galaxy Book S","13.3’’ FHD TFT (16:9) Touch: 10 point multi touch screen","Qualcomm Snapdragon 8cx, 7 nm 64 bit Octa core processor (Max. 2.84 GHz +1.8GHz)","Windows 10 Home","8 GB RAM (LPDDR4X)","Adreno 680","256 / 512 GB+, micro SD slot (up to 1TB)","42Wh, up to 23 hours video playback, wireless","Rs.1,00,000",img/laptop/Samsung-Galaxy-BookS.png,img/laptop/Galaxy_book_s.png,img/laptop/Galaxy_book_s_8yTTnOO.png,3,"2021-03-01 12:13:05.566558","2021-03-01 12:13:05.566558"
12,"MacBook Pro 15","15.4 inch, 2,880 x 1,800 Resolution Retina display, backlit LED, IPS, 500 nits brightness, wide color P3 gamut","2.4GHz Intel Core i9 processor (octa core, up to 5.0GHz)","OS: macOS mojave","32GB DDR4 RAM","AMD Radeon Pro Vega 20","4TB SSD","Up to 10 hours, 87w USB C power adapter","Rs.2,80,000",img/laptop/MacBook-Pro-15.png,img/laptop/Apple_macbook_pro__15.png,img/laptop/Apple_macbook_pro_15.png,3,"2021-03-01 12:16:34.474727","2021-03-01 12:16:34.474727"
13,"Dell Inspiron 3493","14.0 inch LED backlit screen; HD (1366 x 768 pixels); Anti glare","10th Gen Intel Core i3 1005G1","Windows 10","4GB DDR4 SDRAM, 2666 MHz","Intel UHD Graphics 620","1TB HDD","Up to 4 hours","Rs.49,900",img/laptop/Dell-Inspiron-3493.png,img/laptop/Dell_inspiron_3493.png,img/laptop/Dell_inspiron_3493_zbw04bh.png,2,"2021-03-01 12:19:06.624004","2021-03-01 12:19:06.624004"
14,"Acer swift 7","14 inch Full HD touchscreen display with Corning Gorilla Glass protection","Kaby Lake (7 th Gen) Intel Core i7 Processor","Windows Hello Integration","8GB RAM","Intel HD Graphics 620","256 GB SSD","10 hours of battery life","Rs.1,90,000",img/laptop/Acer-Swift-7.png,img/laptop/Acer_swift_7.png,img/laptop/Acer_swift_7_t08tKFB.png,3,"2021-03-01 12:21:28.327699","2021-03-01 12:21:28.327699"
15,"Lenovo 530S 14","14 inches Anti glare IPS Display, 250 nits","Up to 8th Gen Intel Core i7","Windows, Linux","8GB (4 GB + 4 GB DIMM DDR4 2400)","AMD Integrated VEGA 8","256GB SSD","Up to 8 hours","Rs.70,000",img/laptop/Lenovo-530s-14.png,img/laptop/Lenovo_5300s.png,img/laptop/Lenovo_5300s_ZsfzztZ.png,3,"2021-03-01 12:24:10.817754","2021-03-01 12:24:10.817754"
